Polling Station No,R.S.RAAJESH,VENNILA.T,J. JOHN EBENEZER,E. RAAMADASAN,D.KARTHIKEYAN,CHANDRASEKAR,B.NAVIN,N. MARIE WILSON,A.MOHANRAJ,AMUDHA.N,D. AJITH KUMAR,S.EMMANUVEL,A. USHA,R.ETHIRAJ,V.SHANKAR,M. SATHISH,J.SARAVANAKUMAR,L.SARAVANAN,V.SUDHAKAR,K. SUJITH,R.TAMILARASAN,TAMILSELVAN,R.DEVAKUMAR,D.PRABHU,G. BOTHI RAJAN,MANIKANDAN.H,G. MADHAN KUMAR,V. MADHAN MOHAN,P. MARIMUTHU,R. MUTHU CHELLA BHARATHI,K. MURALI,J.MURALI KRISHNAN,C. RAJAMANICKAM,J.VIJAYAN,A.VIJAY,G. VIJAY,C.JANARTHANAN,D. JANARTHANAN,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
68,86,37,157,1,0,0,1,543,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,833,0,1,834,0
69,157,17,228,0,0,0,0,420,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,826,0,2,828,0
70,130,20,245,1,0,0,2,526,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,0,1,928,0
71,113,36,298,0,0,0,0,430,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,886,0,1,887,0
72,121,35,293,0,1,0,0,471,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923,0,1,924,0
73,100,17,136,0,0,0,1,234,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,492,0,6,498,0
74,114,28,138,0,0,1,1,282,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,570,0,3,573,0
75,132,31,170,1,0,0,1,436,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,773,0,1,774,0
76,130,31,216,0,0,0,0,529,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,914,0,3,917,0
77,97,26,206,1,0,0,2,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,699,0,4,703,0
78,96,23,181,1,0,0,1,371,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,683,0,4,687,0
79,101,19,166,2,0,0,4,391,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,689,0,3,692,0
80,112,39,256,3,0,1,6,483,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,903,0,3,906,0
81,90,24,166,3,0,0,0,361,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,647,0,2,649,0
82,99,25,183,1,1,0,3,444,1,0,0,0,0,1,0,1,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,767,0,5,772,0
83,82,19,189,0,2,1,2,446,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,752,0,3,755,0
84,80,16,234,0,0,0,2,385,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,0,2,725,0
85,84,12,152,0,0,0,9,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,604,0,3,607,0
86,88,19,185,2,0,0,2,352,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,651,0,4,655,0
87,97,23,210,2,0,0,0,523,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,861,0,2,863,0
88,88,25,238,0,1,1,2,456,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,2,0,0,825,0,1,826,0
89,51,8,102,1,0,0,1,178,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,346,0,1,347,0
90,137,17,216,1,1,0,2,376,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,753,0,3,756,0
91,124,26,175,1,0,0,3,313,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,649,0,3,652,0
92,145,15,168,1,1,1,1,388,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,727,0,4,731,0
93,77,33,202,1,0,0,6,410,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,732,0,3,735,0
94,139,27,184,2,0,0,0,482,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,840,0,1,841,0
95,85,16,102,1,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,440,0,2,442,0
96,60,13,121,1,0,0,1,323,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,0,1,524,0
97,96,12,159,0,0,0,1,672,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,951,0,1,952,0
98,87,19,141,3,0,1,4,604,0,0,1,0,1,0,0,2,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,871,0,1,872,0
99,108,28,185,0,0,0,2,572,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,901,0,0,901,0
100,94,21,131,2,0,2,0,498,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,0,3,1,0,763,0,2,765,0
101,101,38,193,0,4,0,1,500,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,846,0,1,847,0
102,167,20,219,0,0,1,1,510,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,923,0,3,926,0
103,126,16,147,1,2,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,0,6,598,0
104,ge 82,1 21,141,1,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564,0,1,565,0
105,104,19,206,0,0,1,0,439,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,774,0,3,777,0
106,43,5,73,0,0,1,4,309,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,1,0,0,0,447,0,0,447,0
107,46,18,308,1,0,0,1,252,0,0,0,0,0,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633,0,0,633,0
108,107,17,171,0,0,0,1,264,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,564,0,4,568,0
109,47,9,358,1,0,0,1,248,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,4,673,0
110,31,12,409,2,1,0,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,0,1,705,0
111,185,31,251,2,0,1,2,523,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1002,0,1,1003,0
112,71,15,184,0,0,0,2,393,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,672,0,0,672,0
113,85,22,177,0,1,0,0,377,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,667,0
114,121,19,195,1,1,0,0,371,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,716,0,1,717,0
115,118,30,256,2,0,0,2,427,1,0,0,0,0,0,0,0,2,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,846,0,5,851,0
116,112,27,275,2,0,0,6,486,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,917,0,2,919,0
117,62,13,135,2,0,0,2,232,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,453,0,2,455,0
118,144,31,192,0,0,1,4,419,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,800,0,7,807,0
119,122,24,149,2,0,0,0,405,1,1,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,712,0,1,713,0
120,110,16,113,1,0,0,1,423,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,674,0,1,675,0
121,98,24,192,0,0,0,7,442,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,768,0,2,770,0
122,127,26,215,2,0,0,1,507,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,887,0,5,892,0
123,165,26,138,0,0,0,3,347,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,682,0,4,686,0
124,82,21,272,0,0,0,2,409,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,0,1,790,0
125,139,30,257,0,0,0,4,423,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,861,0,3,864,0
126,66,22,160,0,0,0,1,247,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,502,0,3,505,0
