Polling Station No,N.R.KARTHIKEYAN,RAJABU NISHA.Z,S.P.VELUMANI,SATHISH RAJU (ALIAS) K.P.R. SATHISH,SHAJAHAN.S,ARULKUMAR.P,KALAIVANI.S,KARTHIKEYAN.M,KARTHIKEYAN.R,KARTHIKEYAN.R-THONDAMUTHUR,KARTHIKEYAN.R-POOLUVAPATTI,KOWSALYA.V,SIVARAMAN.C,DEEPA.G.S,DEVADASS.K,NIRMALKUMAR.R,BALAMANI.V,MANOKARAN.K,RAFEEQ.A.M.,VIJAYA.K,VISWANATHAN.M,Total Valid Votes,Rejected Votes,NOTA,Total,Tendered Votes
78,158,17,440,149,1,2,0,0,0,0,2,0,2,2,0,1,1,1,0,1,0,777,0,0,777,0
79,199,7,450,153,2,0,2,0,0,0,0,0,1,2,1,3,4,0,4,1,0,829,0,1,830,0
80,179,5,220,104,0,1,1,0,0,0,0,1,1,1,1,3,2,0,1,1,0,521,0,1,522,0
81,188,19,367,335,0,1,0,0,0,0,2,0,6,1,0,2,7,4,1,2,0,935,0,2,937,0
82,149,18,469,165,0,0,0,0,0,0,2,2,1,0,0,2,4,2,4,2,0,820,0,2,822,0
83,140,12,300,249,3,0,0,1,0,1,0,0,1,2,1,2,2,2,3,2,0,721,0,7,728,0
84,143,14,245,248,0,0,0,1,0,0,0,0,0,1,0,0,5,0,4,4,0,665,0,3,668,0
85,167,24,389,378,5,2,0,1,1,0,1,1,3,1,0,2,2,0,2,2,0,981,0,3,984,0
86,81,7,226,109,0,1,1,0,0,0,1,0,1,0,0,0,4,2,0,0,0,433,0,2,435,0
87,207,18,472,176,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,879,0,1,880,0
88,127,9,257,159,1,0,0,0,1,1,0,0,0,6,0,5,2,2,0,1,0,571,0,2,573,0
89,140,13,408,156,1,0,0,4,0,2,0,0,0,0,0,1,1,1,1,1,0,729,0,5,734,0
90,196,25,458,222,0,0,0,1,0,0,1,1,1,0,1,1,1,1,7,0,1,917,0,3,920,0
91,167,13,524,214,1,0,0,1,0,1,6,3,5,2,2,7,0,3,0,0,0,949,0,1,950,0
92,259,18,355,219,0,0,1,0,1,0,1,0,1,1,0,5,0,2,1,0,1,865,0,1,866,0
93,104,9,142,133,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,391,0,2,393,0
94,111,9,119,160,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,401,0,0,401,0
95,141,6,293,208,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,655,0,2,657,0
96,93,16,267,193,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,571,0,4,575,0
97,145,15,273,260,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,695,0,0,695,0
98,76,8,328,119,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,533,0,4,537,0
99,105,15,172,160,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,457,0,2,459,0
100,166,22,252,241,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,685,0,3,688,1
101,138,15,209,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,575,0,3,578,0
102,188,23,306,246,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,767,0,1,768,0
103,97,5,224,224,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,1,0,556,0,4,560,0
104,79,16,192,149,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,438,0,1,439,0
105,152,7,317,185,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,668,0,6,674,0
106,96,20,311,146,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,579,0,8,587,0
107,32,7,265,79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,385,0,2,387,0
108,69,4,302,95,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,474,0,7,481,1
109,67,5,305,70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,449,0,4,453,0
110,65,8,191,98,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,364,0,4,368,0
111,131,10,229,117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,488,0,2,490,0
112,127,11,287,162,0,2,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,594,0,13,607,0
113,104,12,195,165,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,478,0,3,481,0
114,99,9,240,148,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,499,0,3,502,0
115,90,6,184,96,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,379,0,4,383,0
116,75,11,206,105,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,0,3,402,0
117,135,21,247,229,0,1,2,0,1,0,2,1,0,0,2,1,1,1,1,0,0,645,0,0,645,0
118,117,27,151,155,0,1,0,0,0,3,0,0,1,1,0,0,2,0,0,0,0,458,0,0,458,0
119,159,26,224,279,0,1,0,0,0,0,0,1,0,3,0,0,0,0,1,1,0,695,0,2,697,0
120,138,17,227,160,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,545,0,2,547,0
121,105,20,271,268,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,667,0,4,671,0
122,134,31,251,172,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,592,0,3,595,0
123,116,24,291,180,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,614,0,4,618,0
124,121,29,199,187,0,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,0,542,0,4,546,0
125,155,19,216,227,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,622,0,2,624,0
126,76,22,260,181,0,0,0,1,0,2,1,0,1,0,1,1,2,0,0,0,0,548,0,4,552,0
127,75,15,199,191,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,484,0,1,485,0
128,112,11,269,312,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,708,0,1,709,0
129,103,11,219,294,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,0,632,0,7,639,0
130,125,21,197,175,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,519,0,1,520,0
131,81,25,176,200,1,0,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,489,0,3,492,0
132,114,14,210,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,0,0,481,0
133,121,10,215,176,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,525,0,4,529,0
134,83,26,189,197,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,498,0,2,500,0
135,81,28,277,305,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,696,0,4,700,0
136,65,12,226,212,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,518,0,3,521,0
137,96,27,268,258,2,0,0,0,0,0,1,0,0,1,1,2,0,2,2,2,0,662,0,0,662,0
138,87,45,281,279,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,697,0,2,699,0
139,80,29,270,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,639,0,2,641,0
140,49,18,175,201,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,447,0,4,451,0
141,79,18,222,177,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,501,0,2,503,0
142,85,21,224,194,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,526,0,4,530,0
143,96,10,375,215,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,704,0,7,711,0
144,99,27,190,248,1,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,571,0,2,573,0
145,105,31,261,227,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,625,0,5,630,0
146,68,16,221,187,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,496,0,3,499,0
147,164,24,206,321,3,2,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,727,0,0,727,0
148,136,20,181,253,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,594,0,4,598,0
149,150,14,270,277,0,1,0,0,0,1,2,0,1,0,0,0,0,0,1,2,1,720,0,2,722,0
150,203,13,155,259,0,0,1,0,0,1,1,0,1,0,0,0,0,0,2,0,0,636,0,0,636,0
151,179,15,126,209,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,534,0,0,534,0
152,ge 2 177,12,179,232,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,602,0,3,605,0
153,128,13,178,190,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,2,1,517,0,1,518,0
154,228,15,277,253,2,0,1,1,1,1,2,0,0,0,0,2,2,0,0,1,1,787,0,3,790,0
155,280,17,194,295,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,791,0,0,791,0
156,141,18,342,346,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,2,0,854,0,1,855,0
157,60,10,172,134,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,379,0,2,381,0
158,667,23,35,147,2,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,1,879,0,3,882,0
159,599,15,24,108,1,0,0,0,0,0,1,1,1,0,0,0,2,0,1,1,0,754,0,2,756,0
160,339,8,31,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453,0,2,455,0
161,620,9,55,149,3,1,0,0,1,0,2,0,0,0,0,0,1,1,1,0,0,843,0,4,847,0
162,583,14,61,109,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,770,0,1,771,0
163,599,10,72,107,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,795,0,3,798,0
164,580,21,26,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735,0,2,737,0
165,553,20,33,114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,721,0,2,723,0
166,539,4,27,108,0,0,0,0,0,0,1,0,0,1,0,1,4,0,0,0,0,685,0,2,687,0
167,538,9,18,84,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,654,0,1,655,0
168,601,10,39,120,1,0,0,0,0,0,5,0,0,1,0,5,1,0,0,2,0,785,0,0,785,0
169,483,10,41,123,0,2,0,0,0,0,2,0,0,0,0,2,2,0,1,0,0,666,0,1,667,0
170,537,14,31,146,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,733,0,4,737,0
171,530,25,73,207,0,0,0,1,0,0,1,1,1,0,0,2,0,0,1,0,0,842,0,3,845,0
172,559,10,56,148,0,0,1,1,0,0,2,1,0,0,0,0,0,0,3,0,0,781,0,3,784,0
173,466,16,67,201,2,0,0,0,0,0,4,0,1,0,0,1,1,1,1,0,0,761,0,3,764,0
174,607,13,36,147,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,806,0,2,808,0
175,550,7,21,100,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,683,0,2,685,0
176,613,9,15,99,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,740,0,3,743,0
177,563,13,14,95,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,0,1,693,0,1,694,0
178,778,18,15,156,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,975,0,1,976,0
179,578,13,13,77,0,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,686,0,3,689,0
180,808,14,25,199,0,0,0,0,0,0,2,0,0,0,0,3,4,0,6,0,0,1061,0,2,1063,0
181,576,8,44,118,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,751,0,2,753,0
182,741,21,37,140,0,0,0,0,1,0,2,0,0,0,0,1,0,0,11,1,0,955,0,1,956,0
183,623,2,17,113,1,0,0,1,0,0,1,1,1,0,0,0,0,0,4,0,0,764,0,6,770,0
184,141,29,275,392,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,842,0,2,844,0
185,140,19,234,303,0,0,0,0,1,0,1,0,0,0,1,1,4,2,3,2,0,711,0,4,715,0
186,168,27,232,337,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,769,0,1,770,0
187,218,29,212,223,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,2,0,689,0,3,692,0
188,145,30,281,362,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,825,0,5,830,0
189,139,43,242,264,1,0,1,0,1,0,0,1,0,2,0,1,3,1,1,0,0,700,0,1,701,0
190,134,22,198,278,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,637,0,1,638,0
191,92,25,190,365,0,1,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,678,0,2,680,0
192,117,34,262,354,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,769,0,6,775,0
193,120,16,177,316,0,0,1,1,0,0,1,0,1,1,0,2,1,2,2,5,0,646,0,0,646,0
194,113,28,255,370,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2,3,0,775,0,3,778,0
195,125,26,211,243,1,0,0,0,0,2,0,0,0,0,0,1,2,1,0,2,0,614,0,5,619,0
196,157,42,274,371,2,0,0,0,0,0,1,1,0,1,0,0,3,0,1,4,0,857,0,2,859,0
197,139,20,249,299,3,0,1,0,0,0,0,0,0,1,1,2,0,1,1,0,0,717,0,4,721,0
198,133,45,284,458,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,927,0,3,930,0
199,141,23,214,273,1,0,0,1,0,0,0,0,2,0,0,1,1,1,0,1,0,659,0,2,661,0
200,159,21,186,286,1,1,1,0,0,0,2,0,0,0,0,2,0,0,1,1,0,661,0,7,668,0
201,146,42,348,278,1,0,1,0,0,0,1,0,2,0,1,1,1,0,1,1,0,824,0,0,824,0
202,140,32,310,278,1,0,1,0,0,1,0,0,0,1,0,2,0,1,0,0,2,769,0,0,769,0
203,98,36,294,312,2,1,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,749,0,2,751,0
204,103,15,293,236,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,652,0,2,654,0
205,108,14,209,209,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,542,0,2,544,0
206,139,41,299,312,2,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,0,799,0,4,803,0
207,78,14,253,202,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,551,0,5,556,0
208,159,16,221,321,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,719,0,1,720,0
209,352,19,112,338,1,0,0,0,1,1,1,0,1,0,0,2,3,0,0,0,0,831,0,4,835,0
210,203,9,151,218,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,587,0,0,587,0
211,223,13,86,119,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,444,0,0,444,0
212,251,35,214,238,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,742,0,1,743,0
213,265,25,166,215,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,1,677,0,1,678,0
214,275,20,168,293,0,0,0,2,0,0,2,0,0,0,1,0,2,0,1,1,0,765,0,2,767,0
215,195,33,197,284,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,714,0,3,717,0
216,191,24,141,208,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,567,0,2,569,0
217,248,18,76,187,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,534,0,2,536,0
218,292,29,144,268,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,738,0,3,741,0
219,307,22,112,231,0,0,0,1,0,0,0,0,1,0,0,2,2,0,1,0,0,679,0,5,684,0
220,169,15,177,203,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,567,0,1,568,0
221,146,40,217,350,1,0,2,1,0,0,1,1,0,0,0,1,0,1,0,1,0,762,0,2,764,0
222,143,3,109,125,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,383,0,0,383,0
223,131,21,231,264,0,0,2,2,0,1,0,0,0,0,0,1,0,0,1,1,0,655,0,2,657,0
224,329,17,173,269,0,1,0,1,0,0,1,0,1,0,0,2,1,0,0,0,0,795,0,2,797,0
225,337,16,177,290,1,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,0,828,0,6,834,0
226,294,14,183,242,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,736,0,3,739,0
227,137,39,327,272,0,2,3,0,0,3,0,2,0,1,1,1,0,2,1,1,1,793,0,2,795,0
228,ge 3 387,15,133,242,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,1,0,783,0,3,786,0
229,278,9,109,187,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,586,0,1,587,0
230,165,34,292,416,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,912,0,5,917,0
231,114,27,302,398,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,844,0,4,848,0
232,167,17,164,221,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,571,0,3,574,0
233,110,19,190,264,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,588,0,3,591,0
234,113,21,175,286,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,597,0,1,598,0
235,128,30,298,341,1,2,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,805,0,1,806,0
236,101,19,217,236,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,578,0,0,578,0
237,159,37,262,325,2,0,1,1,0,0,2,0,2,2,0,0,0,1,1,0,0,795,0,3,798,0
238,197,14,230,272,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,715,0,2,717,0
239,160,25,212,350,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,2,0,755,0,5,760,0
240,130,23,213,304,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,675,0,2,677,0
241,168,15,182,302,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,672,0,0,672,0
242,159,23,221,331,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,739,0,2,741,0
243,192,19,227,213,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,656,0,2,658,0
244,144,21,252,225,1,1,0,0,0,2,0,0,0,1,2,2,2,1,1,1,0,656,0,5,661,0
245,245,45,369,274,1,1,0,0,0,1,0,0,1,1,0,1,0,1,2,0,0,942,0,1,943,0
246,144,23,453,260,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,883,0,2,885,0
247,238,37,228,316,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,1,1,827,0,4,831,0
